<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
555000	mean = 73314.3	max = 174712
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.5%)
	1024	98%	(7.2%)
	2048	90.8%	(24%)
	4096	66.8%	(38.9%)
	8192	27.9%	(27.9%)
556000	mean = 70546.8	max = 174888
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.5%)
	512	99.1%	(2.6%)
	1024	96.5%	(6.5%)
	2048	90%	(23.8%)
	4096	66.2%	(41.4%)
	8192	24.8%	(24.8%)
557000	mean = 74604.2	max = 175676
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.6%)
	512	99%	(1.8%)
	1024	97.2%	(6.8%)
	2048	90.4%	(20.3%)
	4096	70.1%	(42.3%)
	8192	27.8%	(27.8%)
558000	mean = 74518.5	max = 174804
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(2.4%)
	1024	96.7%	(6.5%)
	2048	90.2%	(22.6%)
	4096	67.6%	(39.5%)
	8192	28.1%	(28.1%)
559000	mean = 77177.5	max = 176784
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.7%)
	512	98.9%	(1.2%)
	1024	97.7%	(6%)
	2048	91.7%	(19.2%)
	4096	72.5%	(43.8%)
	8192	28.7%	(28.7%)
560000	mean = 73410.2	max = 179516
	256	100%	(0.3%)
	512	99.7%	(2%)
	1024	97.7%	(7.3%)
	2048	90.4%	(22.9%)
	4096	67.5%	(40.7%)
	8192	26.8%	(26.8%)
561000	mean = 74312.4	max = 175224
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.2%)
	512	99.4%	(1.6%)
	1024	97.8%	(7.3%)
	2048	90.5%	(21.5%)
	4096	69%	(40.5%)
	8192	28.5%	(28.5%)
562000	mean = 73178.6	max = 176180
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(0.4%)
	512	98.8%	(2.1%)
	1024	96.7%	(4.5%)
	2048	92.2%	(23.4%)
	4096	68.8%	(43%)
	8192	25.8%	(25.8%)
563000	mean = 74700.4	max = 177200
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.4%)
	1024	97.8%	(5.8%)
	2048	92%	(22.7%)
	4096	69.3%	(41.4%)
	8192	27.9%	(27.9%)
564000	mean = 70826	max = 172784
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(1%)
	512	98.6%	(1.4%)
	1024	97.2%	(9%)
	2048	88.2%	(21.8%)
	4096	66.4%	(41.2%)
	8192	25.2%	(25.2%)
565000	mean = 76103.5	max = 175652
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.5%)
	1024	98%	(6.5%)
	2048	91.5%	(20.9%)
	4096	70.6%	(41.7%)
	8192	28.9%	(28.9%)
566000	mean = 74240.2	max = 176348
	128	100%	(0.4%)
	256	99.6%	(0.7%)
	512	98.9%	(1.3%)
	1024	97.6%	(6.1%)
	2048	91.5%	(21.5%)
	4096	70%	(42.6%)
	8192	27.4%	(27.4%)
567000	mean = 75883.3	max = 175340
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.4%)
	1024	98%	(5.2%)
	2048	92.8%	(22.8%)
	4096	70%	(40.7%)
	8192	29.3%	(29.3%)
568000	mean = 75704.7	max = 186756
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.2%)
	1024	97.2%	(6%)
	2048	91.2%	(22.8%)
	4096	68.4%	(38.3%)
	8192	30.1%	(30.1%)
569000	mean = 75675.1	max = 176964
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.3%)
	512	99.2%	(1.3%)
	1024	97.9%	(6.4%)
	2048	91.5%	(23.9%)
	4096	67.6%	(38.4%)
	8192	29.2%	(29.2%)
570000	mean = 73138	max = 175168
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.5%)
	1024	96.9%	(5.6%)
	2048	91.3%	(23.5%)
	4096	67.8%	(41.3%)
	8192	26.5%	(26.5%)
571000	mean = 75095.6	max = 175516
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.5%)
	1024	97.9%	(5.7%)
	2048	92.2%	(23.3%)
	4096	68.9%	(40.4%)
	8192	28.5%	(28.5%)
572000	mean = 78944.7	max = 176868
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.3%)
	512	99.2%	(1.3%)
	1024	97.9%	(7%)
	2048	90.9%	(19.1%)
	4096	71.8%	(39.9%)
	8192	31.9%	(31.9%)
573000	mean = 71989.9	max = 175732
	256	100%	(0.5%)
	512	99.5%	(2.3%)
	1024	97.2%	(7.2%)
	2048	90%	(23%)
	4096	67%	(41.7%)
	8192	25.3%	(25.3%)
574000	mean = 73225	max = 177124
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.4%)
	1024	97.2%	(6.4%)
	2048	90.8%	(25.8%)
	4096	65%	(37.7%)
	8192	27.3%	(27.3%)
575000	mean = 76353.3	max = 177328
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(1.1%)
	1024	98.5%	(6.4%)
	2048	92.1%	(22.4%)
	4096	69.7%	(41.4%)
	8192	28.3%	(28.3%)
576000	mean = 76061.2	max = 176520
	64	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.1%)
	1024	98.3%	(5.8%)
	2048	92.5%	(19.6%)
	4096	72.9%	(45.6%)
	8192	27.3%	(27.3%)
577000	mean = 77466.6	max = 176432
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.3%)
	512	99.4%	(1.3%)
	1024	98.1%	(5%)
	2048	93.1%	(21%)
	4096	72.1%	(41.8%)
	8192	30.3%	(30.3%)
578000	mean = 75747.1	max = 174776
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.9%)
	512	98.8%	(1.7%)
	1024	97.1%	(6.1%)
	2048	91%	(21.2%)
	4096	69.8%	(39.2%)
	8192	30.6%	(30.6%)
579000	mean = 76350.4	max = 175892
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(2.1%)
	1024	97.2%	(5.1%)
	2048	92.1%	(22.7%)
	4096	69.4%	(40.1%)
	8192	29.3%	(29.3%)
580000	mean = 74834.8	max = 175688
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2.2%)
	1024	97.4%	(7.6%)
	2048	89.8%	(20.1%)
	4096	69.7%	(42%)
	8192	27.7%	(27.7%)
581000	mean = 74461.1	max = 178636
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(0.7%)
	1024	98.3%	(6.1%)
	2048	92.2%	(21.9%)
	4096	70.3%	(43.5%)
	8192	26.8%	(26.8%)
582000	mean = 77523.6	max = 173436
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.2%)
	1024	98.4%	(7%)
	2048	91.4%	(20.6%)
	4096	70.8%	(40.3%)
	8192	30.5%	(30.5%)
583000	mean = 71158.2	max = 176532
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(2%)
	1024	97.1%	(6.8%)
	2048	90.3%	(24.9%)
	4096	65.4%	(39.8%)
	8192	25.6%	(25.6%)
584000	mean = 75704.3	max = 175816
	256	100%	(0.4%)
	512	99.6%	(1.7%)
	1024	97.9%	(5.5%)
	2048	92.4%	(23.1%)
	4096	69.3%	(40.6%)
	8192	28.7%	(28.7%)
585000	mean = 73066.4	max = 188388
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.5%)
	1024	98.1%	(6.2%)
	2048	91.9%	(25.6%)
	4096	66.3%	(39.9%)
	8192	26.4%	(26.4%)
586000	mean = 74712.2	max = 197572
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.2%)
	1024	98.5%	(6%)
	2048	92.5%	(22.4%)
	4096	70.1%	(43.4%)
	8192	26.7%	(26.7%)
587000	mean = 78098.2	max = 176560
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.4%)
	1024	98%	(5.8%)
	2048	92.2%	(19.8%)
	4096	72.4%	(41.9%)
	8192	30.5%	(30.5%)
588000	mean = 75645.9	max = 176292
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(0.8%)
	1024	98.8%	(8.5%)
	2048	90.3%	(21.1%)
	4096	69.2%	(39.8%)
	8192	29.4%	(29.4%)
589000	mean = 75571.4	max = 176676
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.9%)
	1024	97.6%	(7%)
	2048	90.6%	(21.3%)
	4096	69.3%	(40.6%)
	8192	28.7%	(28.7%)
590000	mean = 75969.7	max = 176880
	256	100%	(0.5%)
	512	99.5%	(1.1%)
	1024	98.4%	(6.1%)
	2048	92.3%	(22.8%)
	4096	69.5%	(40.7%)
	8192	28.8%	(28.8%)
591000	mean = 77074.2	max = 212288
	256	100%	(0.2%)
	512	99.8%	(1%)
	1024	98.8%	(4.9%)
	2048	93.9%	(23.7%)
	4096	70.2%	(39.8%)
	8192	30.4%	(30.3%)
	16384	0.1%	(0.1%)
592000	mean = 75094	max = 177176
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.5%)
	512	99%	(1.9%)
	1024	97.1%	(5.7%)
	2048	91.4%	(21.6%)
	4096	69.8%	(42.7%)
	8192	27.1%	(27.1%)
593000	mean = 73592.8	max = 221724
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(2%)
	1024	97.3%	(6.2%)
	2048	91.1%	(23.5%)
	4096	67.6%	(40.4%)
	8192	27.2%	(27.1%)
	16384	0.1%	(0.1%)
594000	mean = 75453.8	max = 176924
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(2%)
	1024	97.2%	(5.7%)
	2048	91.5%	(21.8%)
	4096	69.7%	(41.2%)
	8192	28.5%	(28.5%)
595000	mean = 74262.5	max = 213648
	64	100%	(0.1%)
	256	99.9%	(0.8%)
	512	99.1%	(1.5%)
	1024	97.6%	(6.2%)
	2048	91.4%	(23.3%)
	4096	68.1%	(40.9%)
	8192	27.2%	(27.1%)
	16384	0.1%	(0.1%)
596000	mean = 75065.2	max = 176112
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.2%)
	1024	98.1%	(6.2%)
	2048	91.9%	(22.6%)
	4096	69.3%	(41.2%)
	8192	28.1%	(28.1%)
597000	mean = 76502.4	max = 175264
	64	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(1.7%)
	1024	98.1%	(5.8%)
	2048	92.3%	(20.7%)
	4096	71.6%	(42.8%)
	8192	28.8%	(28.8%)
598000	mean = 74208.8	max = 174952
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(1.5%)
	1024	97.8%	(6.8%)
	2048	91%	(21.9%)
	4096	69.1%	(41.8%)
	8192	27.3%	(27.3%)
599000	mean = 76897.5	max = 175260
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.7%)
	1024	97.5%	(5.8%)
	2048	91.7%	(21.2%)
	4096	70.5%	(40.3%)
	8192	30.2%	(30.2%)
600000	mean = 76033.7	max = 175560
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.3%)
	1024	97.9%	(6.7%)
	2048	91.2%	(20.6%)
	4096	70.6%	(42.6%)
	8192	28%	(28%)
601000	mean = 73187.4	max = 174516
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.3%)
	512	99.1%	(1.6%)
	1024	97.5%	(6.3%)
	2048	91.2%	(23%)
	4096	68.2%	(41.4%)
	8192	26.8%	(26.8%)
602000	mean = 70685.2	max = 175400
	128	100%	(0.6%)
	256	99.4%	(0.5%)
	512	98.9%	(1.8%)
	1024	97.1%	(6.9%)
	2048	90.2%	(24.4%)
	4096	65.8%	(41.4%)
	8192	24.4%	(24.4%)
603000	mean = 75402	max = 176164
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.2%)
	1024	98.5%	(6.2%)
	2048	92.3%	(22.5%)
	4096	69.8%	(42%)
	8192	27.8%	(27.8%)
604000	mean = 76986.5	max = 175644
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.1%)
	512	99.7%	(2.6%)
	1024	97.1%	(5.4%)
	2048	91.7%	(19.6%)
	4096	72.1%	(42.6%)
	8192	29.5%	(29.5%)
605000	mean = 74427.8	max = 173720
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(2%)
	1024	97.3%	(7.5%)
	2048	89.8%	(22.4%)
	4096	67.4%	(39.2%)
	8192	28.2%	(28.2%)
606000	mean = 76096.2	max = 174732
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.1%)
	512	99.6%	(1.7%)
	1024	97.9%	(6.6%)
	2048	91.3%	(21.2%)
	4096	70.1%	(41.1%)
	8192	29%	(29%)
607000	mean = 74982.1	max = 174728
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.6%)
	512	99.1%	(1.3%)
	1024	97.8%	(6.6%)
	2048	91.2%	(22.4%)
	4096	68.8%	(40.4%)
	8192	28.4%	(28.4%)
608000	mean = 76475.1	max = 177032
	256	100%	(0.2%)
	512	99.8%	(1.7%)
	1024	98.1%	(4.7%)
	2048	93.4%	(21.5%)
	4096	71.9%	(43%)
	8192	28.9%	(28.9%)
609000	mean = 74771.9	max = 176640
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.1%)
	1024	98.4%	(6.6%)
	2048	91.8%	(22.5%)
	4096	69.3%	(41.6%)
	8192	27.7%	(27.7%)
610000	mean = 74856.7	max = 173388
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(2%)
	1024	97.2%	(6.2%)
	2048	91%	(21.5%)
	4096	69.5%	(40.7%)
	8192	28.8%	(28.8%)
611000	mean = 77818.1	max = 175184
	16	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(1.2%)
	1024	98%	(5.8%)
	2048	92.2%	(20.9%)
	4096	71.3%	(40.4%)
	8192	30.9%	(30.9%)
612000	mean = 75583.1	max = 177104
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.8%)
	1024	97.8%	(6.4%)
	2048	91.4%	(22.2%)
	4096	69.2%	(39.9%)
	8192	29.3%	(29.3%)
613000	mean = 76742.7	max = 173280
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2.4%)
	1024	97.1%	(5.1%)
	2048	92%	(20.2%)
	4096	71.8%	(42.8%)
	8192	29%	(29%)
614000	mean = 76073.6	max = 174396
	64	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2%)
	1024	97.6%	(6.6%)
	2048	91%	(20.8%)
	4096	70.2%	(41.2%)
	8192	29%	(29%)
615000	mean = 75671.7	max = 174756
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.9%)
	1024	97.6%	(5.9%)
	2048	91.7%	(19.8%)
	4096	71.9%	(45.9%)
	8192	26%	(26%)
616000	mean = 76470.1	max = 176556
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.3%)
	1024	98.1%	(6.7%)
	2048	91.4%	(19.5%)
	4096	71.9%	(43.4%)
	8192	28.5%	(28.5%)
617000	mean = 77776.1	max = 176800
	256	100%	(0.1%)
	512	99.9%	(1.4%)
	1024	98.5%	(5.9%)
	2048	92.6%	(20.3%)
	4096	72.3%	(42.1%)
	8192	30.2%	(30.2%)
618000	mean = 74465.8	max = 176452
	256	100%	(0.2%)
	512	99.8%	(1.6%)
	1024	98.2%	(6.5%)
	2048	91.7%	(23.2%)
	4096	68.5%	(41.4%)
	8192	27.1%	(27.1%)
619000	mean = 76719.4	max = 234104
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	256	99.8%	(0.6%)
	512	99.2%	(1.6%)
	1024	97.6%	(6.2%)
	2048	91.4%	(21.5%)
	4096	69.9%	(39.9%)
	8192	30%	(29.9%)
	16384	0.1%	(0.1%)
620000	mean = 76770.7	max = 175068
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1%)
	1024	98.6%	(5.9%)
	2048	92.7%	(21%)
	4096	71.7%	(43.5%)
	8192	28.2%	(28.2%)
621000	mean = 74106.6	max = 175368
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(2.7%)
	1024	96.5%	(4.9%)
	2048	91.6%	(24.4%)
	4096	67.2%	(39.4%)
	8192	27.8%	(27.8%)
622000	mean = 76729.4	max = 176852
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(1%)
	1024	98.3%	(4.5%)
	2048	93.8%	(22.8%)
	4096	71%	(41.6%)
	8192	29.4%	(29.4%)
623000	mean = 76534.8	max = 175388
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.3%)
	1024	98.2%	(5.8%)
	2048	92.4%	(21.3%)
	4096	71.1%	(41.5%)
	8192	29.6%	(29.6%)
624000	mean = 72950.4	max = 175500
	32	100%	(0.1%)
	64	99.9%	(0.4%)
	128	99.5%	(0.2%)
	256	99.3%	(0.2%)
	512	99.1%	(1.8%)
	1024	97.3%	(7.1%)
	2048	90.2%	(21%)
	4096	69.2%	(43.8%)
	8192	25.4%	(25.4%)
625000	mean = 75737.9	max = 174116
	32	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.3%)
	1024	97.3%	(5.7%)
	2048	91.6%	(22.4%)
	4096	69.2%	(39.9%)
	8192	29.3%	(29.3%)
626000	mean = 75451.1	max = 173432
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.3%)
	512	99.4%	(1.7%)
	1024	97.7%	(6.3%)
	2048	91.4%	(22.2%)
	4096	69.2%	(40.1%)
	8192	29.1%	(29.1%)
627000	mean = 74222.7	max = 177176
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.5%)
	1024	97.7%	(6.1%)
	2048	91.6%	(23.2%)
	4096	68.4%	(41.6%)
	8192	26.8%	(26.8%)
628000	mean = 79148.4	max = 177104
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.4%)
	1024	98.1%	(5.1%)
	2048	93%	(20.7%)
	4096	72.3%	(41%)
	8192	31.3%	(31.3%)
629000	mean = 75519	max = 176916
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.4%)
	1024	98%	(6.2%)
	2048	91.8%	(22.5%)
	4096	69.3%	(40.6%)
	8192	28.7%	(28.7%)
630000	mean = 79478.8	max = 224524
	256	100%	(0.1%)
	512	99.9%	(1%)
	1024	98.9%	(5.9%)
	2048	93%	(21.1%)
	4096	71.9%	(39.9%)
	8192	32%	(31.9%)
	16384	0.1%	(0.1%)
631000	mean = 79031	max = 182724
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.6%)
	1024	97.8%	(6.5%)
	2048	91.3%	(19.7%)
	4096	71.6%	(39.4%)
	8192	32.2%	(32.2%)
632000	mean = 76286.2	max = 192344
	128	100%	(0.3%)
	256	99.7%	(0.1%)
	512	99.6%	(1.6%)
	1024	98%	(7%)
	2048	91%	(21.8%)
	4096	69.2%	(40.3%)
	8192	28.9%	(28.9%)
633000	mean = 74208.3	max = 174976
	128	100%	(0.3%)
	256	99.7%	(0.7%)
	512	99%	(1.8%)
	1024	97.2%	(6.4%)
	2048	90.8%	(22.1%)
	4096	68.7%	(41.5%)
	8192	27.2%	(27.2%)
634000	mean = 73540.8	max = 177240
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.4%)
	1024	98%	(6.5%)
	2048	91.5%	(24.8%)
	4096	66.7%	(39.8%)
	8192	26.9%	(26.9%)
635000	mean = 76060.8	max = 213756
	64	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(2.3%)
	1024	97.1%	(6.5%)
	2048	90.6%	(22%)
	4096	68.6%	(39%)
	8192	29.6%	(29.5%)
	16384	0.1%	(0.1%)
636000	mean = 74517.2	max = 233944
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.2%)
	256	99.5%	(0.1%)
	512	99.4%	(1.6%)
	1024	97.8%	(7.4%)
	2048	90.4%	(22.8%)
	4096	67.6%	(39.3%)
	8192	28.3%	(28.2%)
	16384	0.1%	(0.1%)
637000	mean = 75497.4	max = 175244
	128	100%	(0.3%)
	256	99.7%	(0.7%)
	512	99%	(1.8%)
	1024	97.2%	(5.6%)
	2048	91.6%	(21.5%)
	4096	70.1%	(41.1%)
	8192	29%	(29%)
638000	mean = 75725.7	max = 175584
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(7.3%)
	2048	90.7%	(22%)
	4096	68.7%	(39.3%)
	8192	29.4%	(29.4%)
639000	mean = 78320.3	max = 174108
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.9%)
	1024	97.8%	(5.6%)
	2048	92.2%	(21.7%)
	4096	70.5%	(38.8%)
	8192	31.7%	(31.7%)
640000	mean = 75269.6	max = 176124
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(0.6%)
	1024	99%	(7.2%)
	2048	91.8%	(22%)
	4096	69.8%	(42.2%)
	8192	27.6%	(27.6%)
641000	mean = 77824.8	max = 177236
	128	100%	(0.1%)
	256	99.9%	(1%)
	512	98.9%	(2%)
	1024	96.9%	(6.2%)
	2048	90.7%	(21.1%)
	4096	69.6%	(37.7%)
	8192	31.9%	(31.9%)
642000	mean = 74516.8	max = 176564
	128	100%	(0.4%)
	256	99.6%	(0.5%)
	512	99.1%	(2.3%)
	1024	96.8%	(5.8%)
	2048	91%	(24.2%)
	4096	66.8%	(38.7%)
	8192	28.1%	(28.1%)
643000	mean = 74814.7	max = 176424
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(2.3%)
	1024	97%	(6.2%)
	2048	90.8%	(22.2%)
	4096	68.6%	(40.1%)
	8192	28.5%	(28.5%)
644000	mean = 75983.4	max = 173408
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1%)
	1024	98.6%	(5.9%)
	2048	92.7%	(20.7%)
	4096	72%	(43.6%)
	8192	28.4%	(28.4%)
645000	mean = 77155.3	max = 175172
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(2.1%)
	1024	97.3%	(7.4%)
	2048	89.9%	(20%)
	4096	69.9%	(39.3%)
	8192	30.6%	(30.6%)
646000	mean = 78000	max = 173448
	64	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(2%)
	1024	97.4%	(5%)
	2048	92.4%	(21.6%)
	4096	70.8%	(39.6%)
	8192	31.2%	(31.2%)
647000	mean = 74932.3	max = 176344
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(0.3%)
	512	99%	(1.7%)
	1024	97.3%	(7.1%)
	2048	90.2%	(21.7%)
	4096	68.5%	(39.9%)
	8192	28.6%	(28.6%)
648000	mean = 73001	max = 172772
	128	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(1.8%)
	1024	97.2%	(7.1%)
	2048	90.1%	(20.1%)
	4096	70%	(43.5%)
	8192	26.5%	(26.5%)
649000	mean = 77618.5	max = 175492
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.4%)
	512	99.2%	(1.3%)
	1024	97.9%	(5.4%)
	2048	92.5%	(21.8%)
	4096	70.7%	(40.7%)
	8192	30%	(30%)
650000	mean = 76764.1	max = 177240
	128	100%	(0.6%)
	256	99.4%	(0.5%)
	512	98.9%	(1%)
	1024	97.9%	(4.4%)
	2048	93.5%	(22.9%)
	4096	70.6%	(42.1%)
	8192	28.5%	(28.5%)
651000	mean = 78580.5	max = 176016
	256	100%	(0.6%)
	512	99.4%	(1.1%)
	1024	98.3%	(6.5%)
	2048	91.8%	(20.3%)
	4096	71.5%	(40.8%)
	8192	30.7%	(30.7%)
652000	mean = 77303.3	max = 214968
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.2%)
	1024	97.5%	(6.2%)
	2048	91.3%	(21.3%)
	4096	70%	(38.7%)
	8192	31.3%	(31.2%)
	16384	0.1%	(0.1%)
653000	mean = 75157.1	max = 177968
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.3%)
	2048	91.6%	(22.6%)
	4096	69%	(41.1%)
	8192	27.9%	(27.9%)
654000	mean = 77892.3	max = 230996
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(1.4%)
	1024	97.7%	(5.2%)
	2048	92.5%	(21.4%)
	4096	71.1%	(40.5%)
	8192	30.6%	(30.5%)
	16384	0.1%	(0.1%)
655000	mean = 78705.3	max = 184144
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.3%)
	1024	98.2%	(5.8%)
	2048	92.4%	(23%)
	4096	69.4%	(37.4%)
	8192	32%	(32%)
656000	mean = 78116.8	max = 214960
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.8%)
	1024	97.7%	(6.3%)
	2048	91.4%	(19.9%)
	4096	71.5%	(41%)
	8192	30.5%	(30.4%)
	16384	0.1%	(0.1%)
657000	mean = 76924.2	max = 176264
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.2%)
	512	99.5%	(1.9%)
	1024	97.6%	(5.9%)
	2048	91.7%	(21.6%)
	4096	70.1%	(40.3%)
	8192	29.8%	(29.8%)
658000	mean = 78763.5	max = 176972
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.7%)
	1024	98%	(4.8%)
	2048	93.2%	(21.4%)
	4096	71.8%	(40.4%)
	8192	31.4%	(31.4%)
659000	mean = 76163.4	max = 175076
	32	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2.6%)
	1024	96.7%	(7.9%)
	2048	88.8%	(19.4%)
	4096	69.4%	(39.3%)
	8192	30.1%	(30.1%)
660000	mean = 55835.2	max = 176960
	64	100%	(0.6%)
	128	99.4%	(0.9%)
	256	98.5%	(1.8%)
	512	96.7%	(4.8%)
	1024	91.9%	(11.1%)
	2048	80.8%	(28.5%)
	4096	52.3%	(36.9%)
	8192	15.4%	(15.4%)
661000	mean = 74768.8	max = 175772
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(1.3%)
	1024	97.7%	(6.1%)
	2048	91.6%	(22.4%)
	4096	69.2%	(42.2%)
	8192	27%	(27%)
662000	mean = 76575.5	max = 173208
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(1.9%)
	1024	97.8%	(5.9%)
