<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	512	95.5%	(10.2%)
	1024	85.3%	(26.1%)
	2048	59.2%	(45%)
	4096	14.2%	(14.2%)
602000	mean = 28850.8	max = 103948
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.1%)
	512	95.4%	(9.1%)
	1024	86.3%	(23.1%)
	2048	63.2%	(46.9%)
	4096	16.3%	(16.2%)
	8192	0.1%	(0.1%)
603000	mean = 27614.8	max = 80400
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(5.5%)
	512	94.1%	(9.1%)
	1024	85%	(22.8%)
	2048	62.2%	(49.2%)
	4096	13%	(13%)
604000	mean = 28601.5	max = 80828
	128	100%	(0.6%)
	256	99.4%	(3.8%)
	512	95.6%	(10.2%)
	1024	85.4%	(22%)
	2048	63.4%	(47.6%)
	4096	15.8%	(15.8%)
605000	mean = 28345.5	max = 80772
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.8%)
	512	94.6%	(8.6%)
	1024	86%	(22.6%)
	2048	63.4%	(48.6%)
	4096	14.8%	(14.8%)
606000	mean = 28157.5	max = 83336
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.7%)
	512	95.6%	(9.8%)
	1024	85.8%	(24.2%)
	2048	61.6%	(46.4%)
	4096	15.2%	(15.2%)
607000	mean = 27487.6	max = 80180
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4%)
	512	95.1%	(11.6%)
	1024	83.5%	(23.4%)
	2048	60.1%	(45%)
	4096	15.1%	(15.1%)
608000	mean = 27881.2	max = 79276
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(3.5%)
	512	95.6%	(11.3%)
	1024	84.3%	(24%)
	2048	60.3%	(44.3%)
	4096	16%	(16%)
609000	mean = 28311.1	max = 81260
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.5%)
	512	94.9%	(9.1%)
	1024	85.8%	(24.4%)
	2048	61.4%	(45.2%)
	4096	16.2%	(16.2%)
610000	mean = 28412.4	max = 72108
	128	100%	(0.4%)
	256	99.6%	(4%)
	512	95.6%	(9.3%)
	1024	86.3%	(23.7%)
	2048	62.6%	(46.5%)
	4096	16.1%	(16.1%)
611000	mean = 27388.9	max = 76652
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.7%)
	512	94.7%	(11%)
	1024	83.7%	(23.9%)
	2048	59.8%	(44.9%)
	4096	14.9%	(14.9%)
612000	mean = 27768.6	max = 82724
	128	100%	(0.2%)
	256	99.8%	(4.4%)
	512	95.4%	(10.8%)
	1024	84.6%	(23.5%)
	2048	61.1%	(47.5%)
	4096	13.6%	(13.6%)
613000	mean = 28340.1	max = 87916
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(3.6%)
	512	95.5%	(9.9%)
	1024	85.6%	(22.5%)
	2048	63.1%	(47.7%)
	4096	15.4%	(15.4%)
614000	mean = 28082.4	max = 79308
	128	100%	(0.4%)
	256	99.6%	(3.6%)
	512	96%	(10%)
	1024	86%	(24%)
	2048	62%	(46.6%)
	4096	15.4%	(15.4%)
615000	mean = 28538.1	max = 79816
	128	100%	(0.6%)
	256	99.4%	(3.4%)
	512	96%	(9.9%)
	1024	86.1%	(23%)
	2048	63.1%	(46.9%)
	4096	16.2%	(16.2%)
616000	mean = 28536.6	max = 81276
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.9%)
	512	94.3%	(8.4%)
	1024	85.9%	(23.5%)
	2048	62.4%	(46.8%)
	4096	15.6%	(15.6%)
617000	mean = 29634.2	max = 82048
	128	100%	(0.3%)
	256	99.7%	(2.6%)
	512	97.1%	(11.1%)
	1024	86%	(21.5%)
	2048	64.5%	(46.8%)
	4096	17.7%	(17.7%)
618000	mean = 27685.2	max = 78752
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(5.2%)
	512	93.9%	(10.4%)
	1024	83.5%	(22.2%)
	2048	61.3%	(46.4%)
	4096	14.9%	(14.9%)
619000	mean = 28807.5	max = 80748
	128	100%	(0.4%)
	256	99.6%	(4.3%)
	512	95.3%	(10.9%)
	1024	84.4%	(21.3%)
	2048	63.1%	(46.5%)
	4096	16.6%	(16.6%)
620000	mean = 27971.1	max = 80440
	64	100%	(0.4%)
	128	99.6%	(0.3%)
	256	99.3%	(3.8%)
	512	95.5%	(10.6%)
	1024	84.9%	(25.5%)
	2048	59.4%	(43.8%)
	4096	15.6%	(15.6%)
621000	mean = 28002.3	max = 80472
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.3%)
	512	96.2%	(8.5%)
	1024	87.7%	(25.9%)
	2048	61.8%	(47.9%)
	4096	13.9%	(13.9%)
622000	mean = 28183.9	max = 107984
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.5%)
	512	95.9%	(11.1%)
	1024	84.8%	(22.6%)
	2048	62.2%	(46.9%)
	4096	15.3%	(15.2%)
	8192	0.1%	(0.1%)
623000	mean = 28888.6	max = 80320
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(2.5%)
	512	96.7%	(10.7%)
	1024	86%	(21.6%)
	2048	64.4%	(48.5%)
	4096	15.9%	(15.9%)
624000	mean = 28837.9	max = 88672
	64	100%	(0.3%)
	128	99.7%	(0.7%)
	256	99%	(4.9%)
	512	94.1%	(8.1%)
	1024	86%	(24.5%)
	2048	61.5%	(44.5%)
	4096	17%	(17%)
625000	mean = 29015.1	max = 83760
	128	100%	(0.6%)
	256	99.4%	(3.6%)
	512	95.8%	(9.1%)
	1024	86.7%	(22.2%)
	2048	64.5%	(47.8%)
	4096	16.7%	(16.7%)
626000	mean = 28158.6	max = 82012
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(3.6%)
	512	95.4%	(10.8%)
	1024	84.6%	(23.3%)
	2048	61.3%	(45.5%)
	4096	15.8%	(15.8%)
627000	mean = 28382.6	max = 82976
	128	100%	(0.7%)
	256	99.3%	(2.9%)
	512	96.4%	(10%)
	1024	86.4%	(24.9%)
	2048	61.5%	(45.7%)
	4096	15.8%	(15.8%)
628000	mean = 28444.3	max = 88816
	128	100%	(0.7%)
	256	99.3%	(4%)
	512	95.3%	(10.5%)
	1024	84.8%	(21.8%)
	2048	63%	(46.2%)
	4096	16.8%	(16.8%)
629000	mean = 28196.3	max = 79468
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.5%)
	512	95.9%	(9.7%)
	1024	86.2%	(25.1%)
	2048	61.1%	(45.2%)
	4096	15.9%	(15.9%)
630000	mean = 28607	max = 90076
	128	100%	(0.5%)
	256	99.5%	(4.2%)
	512	95.3%	(9.8%)
	1024	85.5%	(23.5%)
	2048	62%	(45.3%)
	4096	16.7%	(16.7%)
631000	mean = 27645	max = 81280
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.3%)
	512	96%	(11.2%)
	1024	84.8%	(24.9%)
	2048	59.9%	(44.2%)
	4096	15.7%	(15.7%)
632000	mean = 28309.6	max = 79676
	128	100%	(0.6%)
	256	99.4%	(3.6%)
	512	95.8%	(9.9%)
	1024	85.9%	(24.4%)
	2048	61.5%	(45.6%)
	4096	15.9%	(15.9%)
633000	mean = 27938.3	max = 79824
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.3%)
	512	94.9%	(9.8%)
	1024	85.1%	(24.9%)
	2048	60.2%	(43.4%)
	4096	16.8%	(16.8%)
634000	mean = 27302.3	max = 80556
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(5.6%)
	512	93.7%	(11.1%)
	1024	82.6%	(22.7%)
	2048	59.9%	(44.8%)
	4096	15.1%	(15.1%)
635000	mean = 27712	max = 80736
	128	100%	(0.7%)
	256	99.3%	(3.1%)
	512	96.2%	(11.4%)
	1024	84.8%	(23.2%)
	2048	61.6%	(47.6%)
	4096	14%	(14%)
636000	mean = 28618.7	max = 87572
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.4%)
	512	95.7%	(10.8%)
	1024	84.9%	(22.2%)
	2048	62.7%	(46.5%)
	4096	16.2%	(16.2%)
637000	mean = 28632.6	max = 76852
	128	100%	(0.7%)
	256	99.3%	(3.8%)
	512	95.5%	(10.1%)
	1024	85.4%	(22.8%)
	2048	62.6%	(45.7%)
	4096	16.9%	(16.9%)
638000	mean = 28326.3	max = 111044
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(4%)
	512	95.5%	(11%)
	1024	84.5%	(21.6%)
	2048	62.9%	(47.5%)
	4096	15.4%	(15.3%)
	8192	0.1%	(0.1%)
639000	mean = 28473	max = 82128
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(4%)
	512	95%	(8.5%)
	1024	86.5%	(24.3%)
	2048	62.2%	(46.1%)
	4096	16.1%	(16.1%)
640000	mean = 27957.4	max = 79516
	128	100%	(0.6%)
	256	99.4%	(5%)
	512	94.4%	(10.1%)
	1024	84.3%	(23%)
	2048	61.3%	(45.5%)
	4096	15.8%	(15.8%)
641000	mean = 28979.8	max = 81100
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3%)
	512	96.5%	(10.2%)
	1024	86.3%	(23.2%)
	2048	63.1%	(45.6%)
	4096	17.5%	(17.5%)
642000	mean = 27758.9	max = 85460
	128	100%	(0.5%)
	256	99.5%	(3.3%)
	512	96.2%	(12.3%)
	1024	83.9%	(23.1%)
	2048	60.8%	(45.6%)
	4096	15.2%	(15.2%)
643000	mean = 28534	max = 82844
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(5.1%)
	512	94.3%	(10.8%)
	1024	83.5%	(21.2%)
	2048	62.3%	(45.4%)
	4096	16.9%	(16.9%)
644000	mean = 28952	max = 78408
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3%)
	512	96.5%	(10%)
	1024	86.5%	(23.6%)
	2048	62.9%	(45.6%)
	4096	17.3%	(17.3%)
645000	mean = 28547.5	max = 79416
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4.6%)
	512	94.8%	(10.8%)
	1024	84%	(21.7%)
	2048	62.3%	(44.8%)
	4096	17.5%	(17.5%)
646000	mean = 29301.7	max = 83856
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.3%)
	512	96.2%	(10.2%)
	1024	86%	(21.2%)
	2048	64.8%	(47.3%)
	4096	17.5%	(17.5%)
647000	mean = 29087.9	max = 80368
	128	100%	(0.4%)
	256	99.6%	(4.7%)
	512	94.9%	(9.1%)
	1024	85.8%	(21.1%)
	2048	64.7%	(47.3%)
	4096	17.4%	(17.4%)
648000	mean = 29105.6	max = 107168
	128	100%	(0.5%)
	256	99.5%	(4%)
	512	95.5%	(9.9%)
	1024	85.6%	(21.7%)
	2048	63.9%	(46.2%)
	4096	17.7%	(17.6%)
	8192	0.1%	(0.1%)
649000	mean = 28435.4	max = 80524
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.8%)
	512	94.7%	(12.2%)
	1024	82.5%	(21.4%)
	2048	61.1%	(43.1%)
	4096	18%	(18%)
650000	mean = 28454.5	max = 82244
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.5%)
	256	99.2%	(3.3%)
	512	95.9%	(11%)
	1024	84.9%	(23.9%)
	2048	61%	(44.4%)
	4096	16.6%	(16.6%)
651000	mean = 29356.2	max = 83600
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.5%)
	512	94.8%	(10%)
	1024	84.8%	(20.9%)
	2048	63.9%	(45.9%)
	4096	18%	(18%)
652000	mean = 28945.6	max = 81072
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3.7%)
	512	95.8%	(9.9%)
	1024	85.9%	(23.5%)
	2048	62.4%	(44.4%)
	4096	18%	(18%)
653000	mean = 28199.8	max = 80104
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(3.7%)
	512	95.4%	(11%)
	1024	84.4%	(22.3%)
	2048	62.1%	(46.5%)
	4096	15.6%	(15.6%)
654000	mean = 29515.4	max = 79468
	128	100%	(0.9%)
	256	99.1%	(3.5%)
	512	95.6%	(10%)
	1024	85.6%	(22.3%)
	2048	63.3%	(44.2%)
	4096	19.1%	(19.1%)
655000	mean = 27946	max = 108136
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.1%)
	512	95.4%	(11.3%)
	1024	84.1%	(22.9%)
	2048	61.2%	(45.5%)
	4096	15.7%	(15.6%)
	8192	0.1%	(0.1%)
656000	mean = 27811.7	max = 80452
	128	100%	(0.8%)
	256	99.2%	(3.1%)
	512	96.1%	(12.3%)
	1024	83.8%	(24.1%)
	2048	59.7%	(44.6%)
	4096	15.1%	(15.1%)
657000	mean = 29613.3	max = 80416
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(3.3%)
	512	96.2%	(10.4%)
	1024	85.8%	(21.6%)
	2048	64.2%	(45.5%)
	4096	18.7%	(18.7%)
658000	mean = 29174.9	max = 80344
	128	100%	(0.9%)
	256	99.1%	(3.4%)
	512	95.7%	(10%)
	1024	85.7%	(21.4%)
	2048	64.3%	(46.7%)
	4096	17.6%	(17.6%)
659000	mean = 28904.6	max = 80856
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.2%)
	512	96.2%	(11%)
	1024	85.2%	(23.4%)
	2048	61.8%	(44.6%)
	4096	17.2%	(17.2%)
660000	mean = 29246	max = 80048
	128	100%	(0.3%)
	256	99.7%	(3.6%)
	512	96.1%	(9.3%)
	1024	86.8%	(23.2%)
	2048	63.6%	(45.8%)
	4096	17.8%	(17.8%)
661000	mean = 28659.2	max = 81132
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(3.7%)
	512	95.9%	(10.7%)
	1024	85.2%	(23.6%)
	2048	61.6%	(44.7%)
	4096	16.9%	(16.9%)
662000	mean = 29325	max = 79792
	128	100%	(0.4%)
	256	99.6%	(4.4%)
	512	95.2%	(8.7%)
	1024	86.5%	(23.1%)
	2048	63.4%	(46%)
	4096	17.4%	(17.4%)
663000	mean = 28465.5	max = 80412
	128	100%	(0.6%)
	256	99.4%	(4.7%)
	512	94.7%	(10.3%)
	1024	84.4%	(23.2%)
	2048	61.2%	(44.2%)
	4096	17%	(17%)
664000	mean = 29056	max = 80344
	128	100%	(0.7%)
	256	99.3%	(3.9%)
	512	95.4%	(9.6%)
	1024	85.8%	(23.2%)
	2048	62.6%	(44.8%)
	4096	17.8%	(17.8%)
665000	mean = 28527.4	max = 80368
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(2.1%)
	512	97%	(9.9%)
	1024	87.1%	(23.3%)
	2048	63.8%	(48.7%)
	4096	15.1%	(15.1%)
666000	mean = 28177.5	max = 80404
	128	100%	(0.5%)
	256	99.5%	(4.4%)
	512	95.1%	(9.5%)
	1024	85.6%	(23.8%)
	2048	61.8%	(47%)
	4096	14.8%	(14.8%)
667000	mean = 28418.8	max = 80508
	64	100%	(0.4%)
	128	99.6%	(0.6%)
	256	99%	(3.7%)
	512	95.3%	(11.1%)
	1024	84.2%	(22.1%)
	2048	62.1%	(46.2%)
	4096	15.9%	(15.9%)
668000	mean = 29718	max = 80460
	128	100%	(0.3%)
	256	99.7%	(4.5%)
	512	95.2%	(7.7%)
	1024	87.5%	(23.5%)
	2048	64%	(44.5%)
	4096	19.5%	(19.5%)
669000	mean = 29048.2	max = 81068
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.2%)
	512	95.4%	(10.3%)
	1024	85.1%	(22.8%)
	2048	62.3%	(44.3%)
	4096	18%	(18%)
670000	mean = 28254.7	max = 80720
	128	100%	(0.4%)
	256	99.6%	(3.6%)
	512	96%	(9.1%)
	1024	86.9%	(24.4%)
	2048	62.5%	(47.1%)
	4096	15.4%	(15.4%)
671000	mean = 28735.9	max = 78740
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.7%)
	512	95.7%	(12.1%)
	1024	83.6%	(19.9%)
	2048	63.7%	(46.5%)
	4096	17.2%	(17.2%)
672000	mean = 28560.1	max = 79400
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(4%)
	512	94.9%	(12.1%)
	1024	82.8%	(21.2%)
	2048	61.6%	(44.2%)
	4096	17.4%	(17.4%)
673000	mean = 28891.2	max = 80008
	128	100%	(0.7%)
	256	99.3%	(3.8%)
	512	95.5%	(9.1%)
	1024	86.4%	(21.1%)
	2048	65.3%	(48.9%)
	4096	16.4%	(16.4%)
674000	mean = 28756.8	max = 109544
	64	100%	(0.4%)
	128	99.6%	(0.6%)
	256	99%	(3.2%)
	512	95.8%	(9.2%)
	1024	86.6%	(22.6%)
	2048	64%	(48.4%)
	4096	15.6%	(15.5%)
	8192	0.1%	(0.1%)
675000	mean = 28851.6	max = 80528
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.1%)
	512	95.3%	(11%)
	1024	84.3%	(22.5%)
	2048	61.8%	(44.3%)
	4096	17.5%	(17.5%)
676000	mean = 29329	max = 81632
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4%)
	512	95.4%	(10.1%)
	1024	85.3%	(20.7%)
	2048	64.6%	(46.6%)
	4096	18%	(18%)
677000	mean = 29759.2	max = 80444
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.8%)
	512	94.5%	(9.2%)
	1024	85.3%	(20%)
	2048	65.3%	(46.2%)
	4096	19.1%	(19.1%)
678000	mean = 29491	max = 80520
	128	100%	(0.7%)
	256	99.3%	(4%)
	512	95.3%	(10.2%)
	1024	85.1%	(21%)
	2048	64.1%	(45.4%)
	4096	18.7%	(18.7%)
679000	mean = 28620.3	max = 80648
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.5%)
	512	96%	(10%)
	1024	86%	(23.2%)
	2048	62.8%	(46.2%)
	4096	16.6%	(16.6%)
680000	mean = 29205.2	max = 80068
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(2.8%)
	512	96.4%	(9.6%)
	1024	86.8%	(23%)
	2048	63.8%	(46.6%)
	4096	17.2%	(17.2%)
681000	mean = 29279.8	max = 80456
	64	100%	(0.4%)
	128	99.6%	(0.7%)
	256	98.9%	(3.6%)
	512	95.3%	(10.7%)
	1024	84.6%	(19.3%)
	2048	65.3%	(46.9%)
	4096	18.4%	(18.4%)
682000	mean = 29246.4	max = 102140
	128	100%	(0.3%)
	256	99.7%	(4.8%)
	512	94.9%	(8.2%)
	1024	86.7%	(22.8%)
	2048	63.9%	(46.6%)
	4096	17.3%	(17.2%)
	8192	0.1%	(0.1%)
683000	mean = 28499	max = 80664
	128	100%	(0.4%)
	256	99.6%	(4%)
	512	95.6%	(11.7%)
	1024	83.9%	(22.4%)
	2048	61.5%	(43.9%)
	4096	17.6%	(17.6%)
684000	mean = 28474	max = 80268
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.4%)
	512	95.1%	(11.3%)
	1024	83.8%	(22%)
	2048	61.8%	(45.1%)
	4096	16.7%	(16.7%)
685000	mean = 29436.3	max = 84488
	64	100%	(0.4%)
	128	99.6%	(0.3%)
	256	99.3%	(3.1%)
	512	96.2%	(10.6%)
	1024	85.6%	(22.2%)
	2048	63.4%	(45%)
	4096	18.4%	(18.4%)
686000	mean = 29339.4	max = 80480
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(2.7%)
	512	96.9%	(10%)
	1024	86.9%	(25.7%)
	2048	61.2%	(42.2%)
	4096	19%	(19%)
687000	mean = 29597.8	max = 80020
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(3.3%)
	512	95.9%	(10.1%)
	1024	85.8%	(22.3%)
	2048	63.5%	(44.5%)
	4096	19%	(19%)
688000	mean = 29449.9	max = 78724
	128	100%	(0.6%)
	256	99.4%	(3.9%)
	512	95.5%	(10.1%)
	1024	85.4%	(23.1%)
	2048	62.3%	(44.4%)
	4096	17.9%	(17.9%)
689000	mean = 29472.6	max = 88704
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.6%)
	512	95.7%	(9.7%)
	1024	86%	(22.2%)
	2048	63.8%	(46%)
	4096	17.8%	(17.8%)
690000	mean = 29564.7	max = 78404
	128	100%	(0.3%)
	256	99.7%	(3.7%)
	512	96%	(11.4%)
	1024	84.6%	(21.4%)
	2048	63.2%	(42.9%)
	4096	20.3%	(20.3%)
691000	mean = 29381.4	max = 79176
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(4.2%)
	512	95.5%	(10.9%)
	1024	84.6%	(22%)
	2048	62.6%	(43.3%)
	4096	19.3%	(19.3%)
692000	mean = 29173	max = 78092
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(2.6%)
	512	96.6%	(8.9%)
	1024	87.7%	(24.5%)
	2048	63.2%	(46.3%)
	4096	16.9%	(16.9%)
693000	mean = 29100.1	max = 80848
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(3.8%)
	512	95.4%	(9.5%)
	1024	85.9%	(22.5%)
	2048	63.4%	(45.1%)
	4096	18.3%	(18.3%)
694000	mean = 29572.8	max = 105808
	32	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.4%)
	512	96.1%	(8.6%)
	1024	87.5%	(22.5%)
	2048	65%	(46.9%)
	4096	18.1%	(18%)
	8192	0.1%	(0.1%)
695000	mean = 28980.3	max = 85456
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.6%)
	512	95.8%	(9%)
	1024	86.8%	(21.9%)
	2048	64.9%	(48.8%)
	4096	16.1%	(16.1%)
696000	mean = 29466.8	max = 82860
	128	100%	(0.7%)
	256	99.3%	(3.1%)
	512	96.2%	(9.9%)
	1024	86.3%	(23%)
	2048	63.3%	(45.3%)
	4096	18%	(18%)
697000	mean = 28889.9	max = 80660
	128	100%	(0.9%)
	256	99.1%	(4.2%)
	512	94.9%	(10.9%)
	1024	84%	(21.6%)
	2048	62.4%	(44.1%)
	4096	18.3%	(18.3%)
698000	mean = 29298.4	max = 78660
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.7%)
	512	95.7%	(9.1%)
	1024	86.6%	(24.7%)
	2048	61.9%	(43.5%)
	4096	18.4%	(18.4%)
699000	mean = 29911.5	max = 80376
	128	100%	(0.9%)
	256	99.1%	(3.6%)
	512	95.5%	(8.3%)
	1024	87.2%	(22.9%)
	2048	64.3%	(44.7%)
	4096	19.6%	(19.6%)
700000	mean = 29059.5	max = 79872
	128	100%	(0.5%)
	256	99.5%	(3.3%)
	512	96.2%	(9.9%)
	1024	86.3%	(23.5%)
	2048	62.8%	(45%)
	4096	17.8%	(17.8%)
701000	mean = 28235	max = 79580
	64	100%	(0.3%)
	128	99.7%	(1.1%)
	256	98.6%	(4.6%)
	512	94%	(10.4%)
	1024	83.6%	(22.6%)
	2048	61%	(43.2%)
	4096	17.8%	(17.8%)
702000	mean = 29598.4	max = 111608
	128	100%	(0.4%)
	256	99.6%	(4%)
	512	95.6%	(10.4%)
	1024	85.2%	(22.2%)
	2048	63%	(43.8%)
	4096	19.2%	(19.1%)
	8192	0.1%	(0.1%)
703000	mean = 29419.7	max = 79468
	128	100%	(0.4%)
	256	99.6%	(3.7%)
	512	95.9%	(9.1%)
	1024	86.8%	(21.6%)
	2048	65.2%	(48.5%)
	4096	16.7%	(16.7%)
704000	mean = 28934.1	max = 81200
	128	100%	(0.3%)
	256	99.7%	(4.7%)
	512	95%	(11.7%)
	1024	83.3%	(22%)
	2048	61.3%	(42%)
	4096	19.3%	(19.3%)
705000	mean = 28567.1	max = 79820
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(5.4%)
	512	94.3%	(9%)
	1024	85.3%	(24.4%)
	2048	60.9%	(43.2%)
	4096	17.7%	(17.7%)
706000	mean = 30153.7	max = 80396
	128	100%	(0.5%)
	256	99.5%	(3.7%)
	512	95.8%	(8.9%)
	1024	86.9%	(22.7%)
	2048	64.2%	(44.5%)
	4096	19.7%	(19.7%)
707000	mean = 28520.6	max = 80488
	128	100%	(0.4%)
	256	99.6%	(4.2%)
	512	95.4%	(10.4%)
	1024	85%	(24.1%)
	2048	60.9%	(43.7%)
	4096	17.2%	(17.2%)
708000	mean = 28211.1	max = 77772
	64	100%	(0.1%)
	128	99.9%	(1.2%)
	256	98.7%	(4.4%)
	512	94.3%	(9.6%)
	1024	84.7%	(25.2%)
	2048	59.5%	(41.5%)
	4096	18%	(18%)
709000	mean = 30229.2	max = 80216
	128	100%	(0.6%)
	256	99.4%	(3.1%)
	512	96.3%	(10.9%)
	1024	85.4%	(22.9%)
	2048	62.5%	(40.7%)
	4096	21.8%	(21.8%)
710000	mean = 29255.9	max = 80368
	128	100%	(0.5%)
	256	99.5%	(3.8%)
	512	95.7%	(8.7%)
	1024	87%	(23.6%)
	2048	63.4%	(46%)
	4096	17.4%	(17.4%)
711000	mean = 28456	max = 122492
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4%)
	512	95.5%	(10.9%)
	1024	84.6%	(23.5%)
	2048	61.1%	(44.4%)
	4096	16.7%	(16.6%)
	8192	0.1%	(0.1%)
712000	mean = 29735.7	max = 78608
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(2.8%)
	512	96.5%	(8.5%)
	1024	88%	(24%)
	2048	64%	(44.7%)
	4096	19.3%	(19.3%)
713000	mean = 29426.2	max = 82692
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3.9%)
	512	95.6%	(9.8%)
	1024	85.8%	(22.6%)
	2048	63.2%	(44.3%)
	4096	18.9%	(18.9%)
714000	mean = 29050.5	max = 85200
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.3%)
	512	95%	(10.3%)
	1024	84.7%	(22.9%)
	2048	61.8%	(43.7%)
	4096	18.1%	(18.1%)
715000	mean = 29402	max = 80492
	128	100%	(0.9%)
	256	99.1%	(2.9%)
	512	96.2%	(10.5%)
	1024	85.7%	(21%)
	2048	64.7%	(46.8%)
	4096	17.9%	(17.9%)
716000	mean = 29292	max = 80108
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(2.5%)
	512	96.8%	(9.5%)
	1024	87.3%	(23.7%)
	2048	63.6%	(46.8%)
	4096	16.8%	(16.8%)
717000	mean = 30076.8	max = 80652
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.5%)
	512	94.9%	(11%)
	1024	83.9%	(19.2%)
	2048	64.7%	(44.8%)
	4096	19.9%	(19.9%)
718000	mean = 29289.8	max = 89456
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3%)
	512	96.5%	(9.5%)
	1024	87%	(22.2%)
	2048	64.8%	(47.6%)
	4096	17.2%	(17.2%)
719000	mean = 30057.4	max = 83756
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.3%)
	512	95.1%	(8.1%)
	1024	87%	(22%)
	2048	65%	(45.1%)
	4096	19.9%	(19.9%)
720000	mean = 29344.8	max = 103840
	64	100%	(0.1%)
